Country,Year,MW,GW
China,2014,28398.8,28.398799999999998
China,2015,43548.8,43.5488
China,2016,77818.8,77.8188
China,2017,130833.3,130.8333
China,2018,175262.9,175.2629
China,2019,205059.8,205.0598
China,2020,254054.8,254.0548
China,2021,307068.14,307.06814
China,2022,393127.14,393.12714
Japan,2005,1422,1.422
Japan,2006,1708,1.708
Japan,2007,1919,1.919
Japan,2008,2144,2.144
Japan,2009,2627,2.627
Japan,2010,3618,3.618
Japan,2011,4914,4.914
Japan,2012,6632,6.632
Japan,2013,13599,13.599
Japan,2014,23339,23.339
Japan,2015,34150,34.15
Japan,2016,42040,42.04
Japan,2017,49500,49.5
Japan,2018,56162,56.162
Japan,2019,63192,63.192
Japan,2020,69764,69.764
Japan,2021,74191,74.191
Japan,2022,78833,78.833
Total World,2005,4548.119,4.548119
Total World,2006,6093.193,6.093193
Total World,2007,8506.466,8.506466
Total World,2008,14729.540999999997,14.729540999999998
Total World,2009,22844.466999999997,22.844466999999998
Total World,2010,41593.189999999995,41.59318999999999
Total World,2011,73909.56,73.90956
Total World,2012,104212,104.212
Total World,2013,140514.55,140.51454999999999
Total World,2014,180712.11,180.71211
Total World,2015,228919.56,228.91956
Total World,2016,301082.30000000005,301.08230000000003
Total World,2017,395946.67,395.94667
Total World,2018,489306.14,489.30614
Total World,2019,592244.6899999998,592.2446899999999
Total World,2020,720428.77,720.42877
Total World,2021,861537.32,861.5373199999999
Total World,2022,1053115.3599999999,1053.1153599999998
